symboling,num_of_doors,wheel_base,length,width,height,curb_weight,num_of_cylinders,engine_size,bore,stroke,compression_ratio,horsepower,peak_rpm,city_mpg,make_audi,make_bmw,make_chevrolet,make_dodge,make_honda,make_isuzu,make_jaguar,make_mazda,make_mercedes-benz,make_mitsubishi,make_nissan,make_peugot,make_plymouth,make_porsche,make_saab,make_subaru,make_toyota,make_volkswagen,make_volvo,aspiration_turbo,body_style_hardtop,body_style_hatchback,body_style_sedan,body_style_wagon,drive_wheels_fwd,engine_location_rear,engine_type_ohc,engine_type_ohcv,fuel_system_2bbl,fuel_system_idi,fuel_system_mfi,fuel_system_mpfi,fuel_system_spdi,price
3,2,88.6,168.8,64.1,48.8,2548,4,130,3.47,2.68,9,111,5000,21,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,13495
3,2,88.6,168.8,64.1,48.8,2548,4,130,3.47,2.68,9,111,5000,21,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,16500
1,2,94.5,171.2,65.5,52.4,2823,6,152,2.68,3.47,9,154,5000,19,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,16500
2,4,99.8,176.6,66.2,54.3,2337,4,109,3.19,3.4,10,102,5500,24,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,True,False,13950
2,4,99.4,176.6,66.4,54.3,2824,5,136,3.19,3.4,8,115,5500,18,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,17450
2,2,99.8,177.3,66.3,53.1,2507,5,136,3.19,3.4,8,110,5500,19,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,True,False,15250
1,4,105.8,192.7,71.4,55.7,2844,5,136,3.19,3.4,8,110,5500,19,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,True,False,17710
1,4,105.8,192.7,71.4,55.7,2954,5,136,3.19,3.4,8,110,5500,19,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,True,False,18920
1,4,105.8,192.7,71.4,55.9,3086,5,131,3.13,3.4,8,140,5500,17,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,False,False,False,True,False,23875
2,2,101.2,176.8,64.8,54.3,2395,4,108,3.5,2.8,8,101,5800,23,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,16430
0,4,101.2,176.8,64.8,54.3,2395,4,108,3.5,2.8,8,101,5800,23,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,16925
0,2,101.2,176.8,64.8,54.3,2710,6,164,3.31,3.19,9,121,4250,21,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,20970
0,4,101.2,176.8,64.8,54.3,2765,6,164,3.31,3.19,9,121,4250,21,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,21105
1,4,103.5,189.0,66.9,55.7,3055,6,164,3.31,3.19,9,121,4250,20,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,24565
0,4,103.5,189.0,66.9,55.7,3230,6,209,3.62,3.39,8,182,5400,16,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,30760
0,2,103.5,193.8,67.9,53.7,3380,6,209,3.62,3.39,8,182,5400,16,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,41315
0,4,110.0,197.0,70.9,56.3,3505,6,209,3.62,3.39,8,182,5400,15,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,36880
2,2,88.4,141.1,60.3,53.2,1488,3,61,2.91,3.03,9,48,5100,47,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,5151
1,2,94.5,155.9,63.6,52.0,1874,4,90,3.03,3.11,9,70,5400,38,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,False,False,False,6295
0,4,94.5,158.8,63.6,52.0,1909,4,90,3.03,3.11,9,70,5400,38,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,6575
1,2,93.7,157.3,63.8,50.8,1876,4,90,2.97,3.23,9,68,5500,37,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,False,False,False,5572
1,2,93.7,157.3,63.8,50.8,1876,4,90,2.97,3.23,9,68,5500,31,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,False,False,False,6377
1,2,93.7,157.3,63.8,50.8,2128,4,98,3.03,3.39,7,102,5500,24,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,False,False,False,True,False,7957
1,4,93.7,157.3,63.8,50.6,1967,4,90,2.97,3.23,9,68,5500,31,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,False,False,False,6229
1,4,93.7,157.3,63.8,50.6,1989,4,90,2.97,3.23,9,68,5500,31,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,6692
1,4,93.7,157.3,63.8,50.6,1989,4,90,2.97,3.23,9,68,5500,31,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,7609
-1,4,103.3,174.6,64.6,59.8,2535,4,122,3.34,3.46,8,88,5000,24,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,True,False,False,False,False,8921
3,2,95.9,173.2,66.3,50.2,2811,4,156,3.6,3.9,7,145,5000,19,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,False,False,True,False,False,12964
2,2,86.6,144.6,63.9,50.8,1713,4,92,2.91,3.41,9,58,4800,49,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,6479
2,2,86.6,144.6,63.9,50.8,1819,4,92,2.91,3.41,9,76,6000,31,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,6855
1,2,93.7,150.0,64.0,52.6,1837,4,79,2.91,3.07,10,60,5500,38,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,5399
1,2,93.7,150.0,64.0,52.6,1940,4,92,2.91,3.41,9,76,6000,30,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,6529
1,2,93.7,150.0,64.0,52.6,1956,4,92,2.91,3.41,9,76,6000,30,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,7129
0,4,96.5,163.4,64.0,54.5,2010,4,92,2.91,3.41,9,76,6000,30,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,7295
0,4,96.5,157.1,63.9,58.3,2024,4,92,2.92,3.41,9,76,6000,30,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,7295
0,2,96.5,167.5,65.2,53.3,2236,4,110,3.15,3.58,9,86,5800,27,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,7895
0,2,96.5,167.5,65.2,53.3,2289,4,110,3.15,3.58,9,86,5800,27,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,9095
0,4,96.5,175.4,65.2,54.1,2304,4,110,3.15,3.58,9,86,5800,27,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,8845
0,4,96.5,175.4,62.5,54.1,2372,4,110,3.15,3.58,9,86,5800,27,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,10295
0,4,96.5,175.4,65.2,54.1,2465,4,110,3.15,3.58,9,101,5800,24,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,True,False,12945
1,2,96.5,169.1,66.0,51.0,2293,4,110,3.15,3.58,9,100,5500,25,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,10345
0,4,94.3,170.7,61.8,53.5,2337,4,111,3.31,3.23,8,78,4800,24,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,6785
2,2,96.0,172.6,65.2,51.4,2734,4,119,3.43,3.23,9,90,5000,24,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,11048
0,4,113.0,199.6,69.6,52.8,4066,6,258,3.63,4.17,8,176,4750,15,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,32250
0,4,113.0,199.6,69.6,52.8,4066,6,258,3.63,4.17,8,176,4750,15,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,35550
0,2,102.0,191.7,70.6,47.8,3950,12,326,3.54,2.76,11,262,5000,13,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,36000
1,2,93.1,159.1,64.2,54.1,1890,4,91,3.03,3.15,9,68,5000,30,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,False,False,False,5195
1,2,93.1,159.1,64.2,54.1,1900,4,91,3.03,3.15,9,68,5000,31,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,False,False,False,6095
1,2,93.1,159.1,64.2,54.1,1905,4,91,3.03,3.15,9,68,5000,31,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,False,False,False,6795
1,4,93.1,166.8,64.2,54.1,1945,4,91,3.03,3.15,9,68,5000,31,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,6695
1,4,93.1,166.8,64.2,54.1,1950,4,91,3.08,3.15,9,68,5000,31,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,7395
1,2,98.8,177.8,66.5,53.7,2385,4,122,3.39,3.39,8,84,4800,26,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,False,False,False,8845
0,4,98.8,177.8,66.5,55.5,2410,4,122,3.39,3.39,8,84,4800,26,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,8495
1,2,98.8,177.8,66.5,53.7,2385,4,122,3.39,3.39,8,84,4800,26,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,False,False,False,10595
0,4,98.8,177.8,66.5,55.5,2410,4,122,3.39,3.39,8,84,4800,26,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,10245
0,4,98.8,177.8,66.5,55.5,2425,4,122,3.39,3.39,8,84,4800,26,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,False,False,False,11245
0,4,104.9,175.0,66.1,54.4,2670,4,140,3.76,3.16,8,120,5000,19,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,18280
0,4,104.9,175.0,66.1,54.4,2700,4,134,3.43,3.64,22,72,4200,31,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,18344
-1,4,110.0,190.9,70.3,56.5,3515,5,183,3.58,3.64,21,123,4350,22,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,25552
-1,4,110.0,190.9,70.3,58.7,3750,5,183,3.58,3.64,21,123,4350,22,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,28248
0,2,106.7,187.5,70.3,54.9,3495,5,183,3.58,3.64,21,123,4350,22,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,True,False,False,False,28176
-1,4,115.6,202.6,71.7,56.3,3770,5,183,3.58,3.64,21,123,4350,22,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,31600
-1,4,115.6,202.6,71.7,56.5,3740,8,234,3.46,3.1,8,155,4750,16,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,34184
3,2,96.6,180.3,70.5,50.8,3685,8,234,3.46,3.1,8,155,4750,16,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,35056
0,4,120.9,208.1,71.7,56.7,3900,8,308,3.8,3.35,8,184,4500,14,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,40960
1,2,112.0,199.2,72.0,55.4,3715,8,304,3.8,3.35,8,184,4500,14,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,45400
1,2,102.7,178.4,68.0,54.8,2910,4,140,3.78,3.12,8,175,5000,19,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,16503
2,2,93.7,157.3,64.4,50.8,1918,4,92,2.97,3.23,9,68,5500,37,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,False,False,False,5389
2,2,93.7,157.3,64.4,50.8,1944,4,92,2.97,3.23,9,68,5500,31,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,False,False,False,6189
2,2,93.7,157.3,64.4,50.8,2004,4,92,2.97,3.23,9,68,5500,31,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,False,False,False,6669
1,2,93.0,157.3,63.8,50.8,2145,4,98,3.03,3.39,7,102,5500,24,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,False,False,False,False,True,7689
3,2,96.3,173.0,65.4,49.4,2370,4,110,3.17,3.46,7,116,5500,23,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,False,False,False,False,True,9959
3,2,96.3,173.0,65.4,49.4,2328,4,122,3.35,3.46,8,88,5000,25,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,False,False,False,8499
3,2,95.9,173.2,66.3,50.2,2833,4,156,3.58,3.86,7,145,5000,19,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,False,False,False,False,True,12629
3,2,95.9,173.2,66.3,50.2,2921,4,156,3.59,3.86,7,145,5000,19,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,False,False,False,False,True,14869
3,2,95.9,173.2,66.3,50.2,2926,4,156,3.59,3.86,7,145,5000,19,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,False,False,False,False,True,14489
1,4,96.3,172.4,65.4,51.6,2365,4,122,3.35,3.46,8,88,5000,25,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,6989
1,4,96.3,172.4,65.4,51.6,2405,4,122,3.35,3.46,8,88,5000,25,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,8189
1,4,96.3,172.4,65.4,51.6,2403,4,110,3.17,3.46,7,116,5500,23,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,False,False,False,False,True,9279
-1,4,96.3,172.4,65.4,51.6,2403,4,110,3.17,3.46,7,116,5500,23,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,True,9279
1,2,94.5,165.3,63.8,54.5,1889,4,97,3.15,3.29,9,69,5200,31,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,5499
1,2,94.5,165.3,63.8,54.5,2017,4,103,2.99,3.47,21,55,4800,45,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False,False,7099
1,2,94.5,165.3,63.8,54.5,1918,4,97,3.15,3.29,9,69,5200,31,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,6649
1,4,94.5,165.3,63.8,54.5,1938,4,97,3.15,3.29,9,69,5200,31,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,6849
1,4,94.5,170.2,63.8,53.5,2024,4,97,3.15,3.29,9,69,5200,31,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,True,False,False,False,False,7349
1,2,94.5,165.3,63.8,54.5,1951,4,97,3.15,3.29,9,69,5200,31,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,7299
1,2,94.5,165.6,63.8,53.3,2028,4,97,3.15,3.29,9,69,5200,31,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,False,False,False,7799
1,4,94.5,165.3,63.8,54.5,1971,4,97,3.15,3.29,9,69,5200,31,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,7499
1,4,94.5,170.2,63.8,53.5,2037,4,97,3.15,3.29,9,69,5200,31,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,True,False,False,False,False,7999
2,2,95.1,162.4,63.8,53.3,2008,4,97,3.15,3.29,9,69,5200,31,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,False,8249
0,4,97.2,173.4,65.2,54.7,2324,4,120,3.33,3.47,8,97,5200,27,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,False,False,False,8949
0,4,97.2,173.4,65.2,54.7,2302,4,120,3.33,3.47,8,97,5200,27,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,9549
0,4,100.4,181.7,66.5,55.1,3095,6,181,3.43,3.27,9,152,5200,17,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,13499
0,4,100.4,184.6,66.5,56.1,3296,6,181,3.43,3.27,9,152,5200,17,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,True,False,14399
0,4,100.4,184.6,66.5,55.1,3060,6,181,3.43,3.27,9,152,5200,19,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,13499
